Sukunimi;Lkm 2023; Lkm 2021;Yleisyysluokka
Alapekkala;23;25;1
Alapelto;40;42;1
Alapere;47;45;1
Alaperä;36;37;1
Alapeteri;46;46;1
Alapiessa;25;25;1
Ala-Pietilä;24;24;1
Alapiha;193;194;2
Alapirtti;55;53;1
Alapoikela;30;31;1
Ala-Poikela;97;104;1
Alapoti;20;21;1
Ala-Prinkkilä;26;27;1
Alapuranen;100;99;2
Ala-Pöntiö;43;43;1
Alaraappana;61;60;1
Alaraasakka;76;75;1
Alaraatikka;83;85;1
Alaranta;215;216;2
Ala-Ranta;22;25;1
Ala-Rantala;38;37;1
Alaraudanjoki;81;78;1
Alarauhio;29;28;1
Alarautalahti;38;36;1
Alardt;29;30;1
Alare;20;20;1
Ala-Renko;59;56;1
Alariesto;57;56;1
Ala-Riihimäki;34;35;1
Alarotu;125;126;2
Alarousu;22;21;1
Alarova;26;22;1
Alarto;27;28;1
Alaruikka;115;113;2
Ala-Ruona;28;31;1
Alaräihä;21;21;1
Alaräisänen;37;38;1
Ala-Rämi;33;33;1
Ala-Röyskö;29;31;1
Alasaarela;130;130;2
Alasaari;214;209;2
Alasalmi;215;213;2
Ala-Salmi;46;49;1
Ala-Salomäki;0;20;0
Alasaukko-oja;49;53;1
Alasentie;64;64;1
Ala-Seppälä;48;48;1
Alasimi;41;42;1
Alasimonen;20;20;1
Ala-Sippola;25;25;1
Alasirniö;39;39;1
Ala-Siuru;20;20;1
Alasiurua;31;32;1
Alasjärvi;28;29;1
Alasmaa;37;38;1
Alasmäki;23;22;1
Alasorvari;25;25;1
Alasow;25;24;1
Alaspää;122;126;2
Alastalo;649;648;2
Alaste;45;46;1
Alasuutari;176;177;2
Alasuvanto;99;98;1
Alatainio;27;27;1
Ala-Tainio;21;23;1
Alatalkkari;33;30;1
Alatalo;2882;2917;3
Alatarvas;62;62;1
Alatolonen;20;21;1
Alatorvinen;28;28;1
Alatossava;57;60;1
Alatulkkila;25;27;1
Ala-Tuori;27;27;1
Alatupa;46;47;1
Ala-Turkia;49;50;1
Ala-Tuuhonen;39;39;1
Alatyppö;69;71;1
Alatörmä;0;20;0
Alatörmänen;21;21;1
Ala-Uotila;67;67;1
Alava;247;245;2
Alavahtola;74;73;1
Alavaikko;45;46;1
Alavainio;26;24;1
Ala-Vannesluoma;48;49;1
Ala-Varvi;53;52;1
Alaverronen;48;46;1
Alavesa;79;79;1
Ala-Viikari;34;33;1
Alaviippola;40;39;1
Alaviiri;34;38;1
Alaviitala;55;58;1
Alavillamo;67;68;1
Alaviuhkola;59;59;1
Alavuo;27;27;1
Alavuotunki;94;95;1
Ala-Välkkilä;36;37;1
Al-Azzawi;44;27;1
Ala-Äijälä;39;40;1
Al-Bayati;24;0;1
Albayrak;24;25;1
Albert;31;31;1
Albertsson;29;30;1
Albrecht;235;233;2
Albäck;57;55;1
Al-Dulaimi;56;37;1
Aleksandrova;20;0;1
Aleksejev;25;23;1
Al-Emara;43;43;1
Alen;77;80;1
Alén;644;647;2
Alenius;527;531;2
Al-Essa;29;29;1
Alestalo;203;204;2
Alexander;58;56;1
Alexandersson;73;75;1
Alexandrova;21;0;1
Alexeev;20;0;1
Alexeeva;22;21;1
Al-Faisal;24;23;1
Alftan;40;40;1
Alfthan;125;120;2
Al-Gburi;56;38;1
Alha;31;30;1
Alhainen;230;238;2
Alhamo;21;21;1
Alhanen;61;59;1
Alhasto;0;20;0
al-Hello;31;30;1
Alho;1775;1791;3
Alhola;145;146;2
Alhomäki;46;49;1
Alhonen;319;315;2
Alhoniemi;33;33;1
Alhonmäki;70;72;1
Alhonoja;25;24;1
Alhonpää;20;22;1
Alhoranta;28;29;1
Alhosaari;0;20;0
Ali;1574;1399;3
Ali Mohamed;33;27;1
Alifrosti;21;0;1
Ali-Haapala;21;21;1
Alihanka;27;26;1
Ali-Hokka;45;45;1
Ali-Jaakkola;22;22;1
Alijagic;24;0;1
Alijoki;33;34;1
Alijärvi;32;32;1
Alikeskikylä;21;0;1
Ali-Keskikylä;38;41;1
Ali-Kippari;27;28;1
Alikirri;52;52;1
Alikoski;110;108;2
Ali-Kovero;48;47;1
Alila;207;206;2
Ali-Lekkala;25;25;1
Ali-Löytty;57;58;1
Alimattila;23;24;1
Ali-Mattila;43;44;1
Ali-Melkkilä;22;25;1
Alimi;20;0;1
Alin;200;203;2
Alinen;110;115;2
Alinikula;26;26;1
Alioravainen;27;27;1
Alipirjelä;0;21;0
Ali-Raatikainen;39;42;1
Aliranta;96;98;1
Ali-Rantala;37;38;1
Alisaari;27;26;1
Alisalo;26;24;1
Ali-Sisto;21;20;1
Aliska;23;23;1
Alitalo;343;339;2
al-Itawa;27;25;1
Ali-Tolppa;20;20;1
Alitupa;94;89;1
Aliu;54;51;1
Ali-Vehmas;0;20;0
Ali-Yrkkö;33;33;1
Alizada;41;38;1
Alizade;24;21;1
Alizadeh;31;27;1
Al-Janabi;46;24;1
Aljasalo;21;26;1
Al-Jumaili;38;26;1
al-Khafaji;36;35;1
Al-Khafaji;24;35;1
al-Khalidi;0;20;0
al-Khalil;20;21;1
Al-Kharsani;31;28;1
Al-Khuleif;20;0;1
Alkila;26;27;1
Alkio;208;217;2
Alkiomaa;28;27;1
Alkki;36;36;1
Alkkiomäki;60;61;1
Alkku;40;42;1
Alku;32;33;1
Alkula;155;160;2
Allan;30;29;1
Allas;0;20;0
Allen;138;139;2
Allén;240;239;2
Allenius;63;62;1
Aller;31;30;1
Alli;22;21;1
Allinen;114;115;2
Allinniemi;20;20;1
Allison;20;20;1
Allonen;195;194;2
Allt;22;20;1
Alm;518;527;2
Almark;30;31;1
Almén;48;47;1
Almenoksa;20;20;1
Almgren;131;131;2
Almi;39;40;1
Almonkari;21;22;1
Al-Mosawi;44;44;1
Almqvist;68;67;1
Almusa;23;23;1
al-Nazary;32;32;1
Al-Obaidi;67;40;1
Alonen;149;155;2
Alopaeus;106;105;2
Alppi;111;114;2
Alppinen;34;34;1
Alppiranta;33;32;1
Alppirinne;22;22;1
Alppisara;24;21;1
Alpua;61;61;1
Al-Qaysi;27;0;1
Al-Rammahi;21;21;1
Al-Rubaye;48;36;1
Al-Saadi;25;20;1
Al-Sammarraie;30;0;1
Al-Seiab;26;25;1
Alsi;22;21;1
Alsila;23;23;1
Alsio;44;46;1
Alt;62;63;1
Al-Tallab;21;0;1
Al-Tameemi;32;27;1
Al-Tamimi;28;27;1
Altay;26;23;1
Altio;49;48;1
Altis;21;22;1
Altonen;73;77;1
Altti;75;74;1
Altug;37;36;1
Altun;56;49;1
Alutoin;22;22;1
Alvarez;48;44;1
Alvari;53;49;1
Alvasto;28;30;1
Alve;56;58;1
Alvela;0;20;0
Alvesalo;53;53;1
Alvik;29;28;1
Alvila;22;22;1
Alvinen;37;38;1
Alvoittu;27;25;1
Alwan;21;0;1
Al-Zahu;32;32;1
Al-Zalimi;30;28;1
Amberg;45;47;1
Amberla;36;35;1
Ambrusin;34;36;1
Amee;20;20;1
Amin;116;107;2
Amini;56;51;1
Aminoff;226;226;2
Amir;22;23;1
Amiri;128;111;2
Amirkhani;37;34;1
Ammesmäki;25;24;1
Ammondt;25;26;1
Ammunet;53;49;1
Amnell;50;51;1
Amonsen;26;24;1
Amper;52;51;1
Amperla;0;21;0
Ampiala;36;37;1
Ampuja;234;233;2
Ananin;83;84;1
Anckar;47;46;1
And;131;140;2
Andberg;88;92;1
Andelin;280;284;2
Andergård;52;52;1
Andersen;175;167;2
Andersén;120;116;2
Andersin;322;324;2
Anderson;303;299;2
Anderssén;74;72;1
Andersson;4904;4953;3
Andler;22;23;1
Andlin;36;36;1
Andreasen;42;42;1
Andreasson;30;31;1
Andreev;43;39;1
Andreeva;44;43;1
Andrejeff;94;99;1
Andrejev;48;48;1
Andrésen;23;21;1
Andrews;24;22;1
Andronoff;33;33;1
Andsten;128;132;2
Andstén;45;44;1
Andström;95;98;1
Andtbacka;60;62;1
Andtfolk;59;58;1
Andtsjö;27;26;1
Anetjärvi;63;65;1
Angeli;44;43;1
Angelin;28;29;1
Angelva;21;20;1
Angelvuo;32;32;1
Angeria;216;212;2
Angerias;25;24;1
Angerman;29;26;1
Angervisto;26;24;1
Angervo;74;74;1
Angervuori;35;35;1
Anglé;55;54;1
Anhava;20;0;1
Ania;47;48;1
Anias;50;50;1
Aninko;28;28;1
Anisimaa;45;47;1
Anjala;104;102;2
Ankelo;63;62;1
Ankerman;44;45;1
Ankkuri;135;130;2
Annala;1346;1356;3
Annaniemi;39;38;1
Annanolli;39;43;1
Annanpalo;51;50;1
Annanperä;20;20;1
Anneberg;49;50;1
Annila;119;119;2
Annola;183;188;2
Annunen;194;199;2
Anola-Pukkila;0;20;0
Anolin;39;38;1
Anonen;74;73;1
Anoschkin;35;35;1
Ansa;21;20;1
Ansaharju;71;70;1
Ansala;91;91;1
Ansamaa;247;247;2
Ansamäki;20;20;1
Ansaranta;25;25;1
Ansas;90;88;1
Ansio;134;133;2
Antamaniemi;23;20;1
Antas;75;77;1
Antell;220;225;2
Antere;24;23;1
Anteroinen;121;124;2
Antervo;21;20;1
Antfolk;136;138;2
Anthoni;53;54;1
Antikainen;2081;2124;3
Antikka;27;29;1
Antila;1862;1883;3
Antin;83;88;1
Antinaho;134;132;2
Antinkaapo;50;53;1
Antinluoma;46;49;1
Antinmaa;53;45;1
Antinniemi;39;39;1
Antinoja;125;129;2
Antintupa;0;21;0
Antman;131;133;2
Anto;69;68;1
Antola;224;228;2
Anton;26;27;1
Antonen;60;62;1
Antonov;34;30;1
Antonova;27;27;1
Antosalo;37;39;1
Antson;28;29;1
Anttalainen;296;300;2
Antti;61;63;1
Anttikoski;67;68;1
Anttila;9326;9411;3
Anttilainen;108;106;2
Anttinen;129;132;2
Anttio;33;34;1
Anttiroiko;97;100;1
Anttola;55;56;1
Anttolainen;99;101;1
Anttonen;2408;2438;3
Antturi;27;27;1
Anturaniemi;31;31;1
Antus;35;36;1
Ant-Wuorinen;44;45;1
Anundi;33;33;1
Anunti;65;69;1
Anwari;29;23;1
Apaja;45;46;1
Apajainen;26;24;1
Apajalahti;83;82;1
Apajasalo;24;24;1
Apell;202;200;2
Apiainen;26;23;1
Apila;46;47;1
Apilainen;54;56;1
Apilasaho;24;27;1
Apilisto;27;27;1
Apilo;42;42;1
Apo;64;64;1
Appel;155;158;2
Appelberg;55;55;1
Appelblom;31;33;1
Appelgren;101;103;2
Appelgrén;50;52;1
Appelqvist;68;67;1
Appelroth;35;37;1
Appelö;21;21;1
Appiah;31;29;1
Apponen;29;33;1
Apukka;32;33;1
Apuli;40;39;1
Apunen;45;46;1
Arab;88;76;1
Arajuuri;22;23;1
Arajärvi;119;120;2
Arala;44;42;1
Araneva;21;21;1
Aranko;53;51;1
Arasalo;38;37;1
Arasola;51;50;1
Aravirta;35;34;1
Arbelius;147;152;2
Archer;34;32;1
Arela;29;29;1
Arell;44;45;1
Arén;20;20;1
Arenius;71;70;1
Areva;65;66;1
Arffman;475;465;2
Arfman;43;44;1
Argillander;343;343;2
Arhio;23;23;1
Arhipoff;37;36;1
Arhippainen;75;74;1
Arho;67;66;1
Arhokari;33;34;1
Ari;24;23;1
Arif;20;0;1
Arifi;33;32;1
Arifullen;27;26;1
Arikan;23;22;1
Ariluoma;34;35;1
Arima;67;65;1
Arimaa;21;22;1
Arimo;21;20;1
Arino;36;37;1
Arisalo;35;35;1
Arjanne;31;31;1
Arjola;29;30;1
Arjoranta;46;49;1
Arjovuo;28;29;1
Arki;28;28;1
Arkimaa;22;22;1
Arkiomaa;30;30;1
Arkivuo;38;36;1
Arkkila;65;66;1
Arkko;308;304;2
Arkkola;33;35;1
Arkkukangas;55;55;1
Arkoma;20;20;1
Arlander;21;20;1
Arlin;36;36;1
Armanto;35;36;1
Armfelt;26;25;1
Armila;39;38;1
Arminen;495;508;2
Armio;0;20;0
Armstrong;30;28;1
Arnberg;82;79;1
Arnell;42;44;1
Arnivaara;21;21;1
Arnkil;81;83;1
Arnold;55;51;1
Aro;2116;2134;3
Aroalho;59;57;1
Aro-Heinilä;60;59;1
Arohonka;38;36;1
Arojoki;23;24;1
Arokallio;0;20;0
Arokanto;34;34;1
Arokivi;49;49;1
Aro-Koivisto;27;27;1
Arokoski;28;26;1
Arola;1773;1781;3
Arolaakso;42;41;1
Arolainen;31;30;1
Aromaa;491;502;2
Aromäki;142;148;2
Aronen;1029;1037;3
Aronniemi;30;31;1
Aronoja;25;27;1
Aronpuro;34;35;1
Aronpää;30;29;1
Aronsson;25;25;1
Aropaltio;36;36;1
Aropelto;33;35;1
Arosarka;38;38;1
Arosilta;20;20;1
Arosuo;21;22;1
Arousva;35;35;1
Arovaara;57;58;1
Arovainio;20;20;1
Arpala;25;25;1
Arpalahti;52;53;1
Arpi;34;34;1
Arpiainen;331;337;2
Arpinen;26;28;1
Arpolahti;25;25;1
Arponen;880;895;2
Arposalo;22;22;1
Arppe;150;149;2
Arpula;26;28;1
Arra;55;57;1
Arraste;23;23;1
Arrenius;50;48;1
Arrhenius;28;23;1
Arslan;54;50;1
Arstila;56;53;1
Arstio;30;30;1
Artama;34;34;1
Arte;64;62;1
Artell;96;97;1
Artes;20;21;1
Artimo;49;49;1
Artiola;32;30;1
Artjoki;27;26;1
Artman;26;28;1
Arttijeff;20;20;1
