Etunimi;Lkm 2023;Lkm 2021;Yleisyysluokka
A;21;17;1
A.;23;20;1
Aada;10329;9654;4
Aada-Amanda;5;5;0
Aada-Emilia;21;20;1
Aadaliina;15;15;1
Aadalmiina;12;12;1
Aada-Lotta;5;5;0
Aada-Mari;5;5;0
Aada-Maria;58;57;1
Aadan;19;19;1
Aada-Olivia;7;7;0
Aada-Sofia;43;41;1
Aadolfiina;19;19;1
Aagot;9;10;0
Aaisha;9;7;0
Aala;25;23;1
Aale;18;14;1
Aali;10;10;1
Aalia;48;41;1
Aaliya;18;17;1
Aaliyah;45;36;1
Aallotar;437;440;2
Aalo;18;15;1
Aalto;15;9;1
Aami;9;0;0
Aamina;23;20;1
Aamos;6;0;0
Aamu;1220;1112;3
Aamu-Ilona;5;6;0
Aamurusko;5;5;0
Aamu-Tuuli;5;5;0
Aamutähti;13;12;1
Aana;77;72;1
Aara;5;6;0
Aaria;67;55;1
Aarika;20;20;1
Aarikka;5;5;0
Aarla;11;13;1
Aarna;14;12;1
Aarni;19;13;1
Aaro;7;0;0
Aarohi;5;0;0
Aaron;14;9;1
Aarre;5;0;0
Aarya;5;0;0
Aasa;34;30;1
Aasha;5;5;0
Aasia;6;6;0
Aasiya;11;8;1
Aata;13;12;1
Aatos;6;0;0
Aava;4381;3675;3
Aava-Maria;5;5;0
Aavi;5;5;0
Aaya;10;8;1
Aba;13;12;1
Abakar;5;5;0
Abas;5;6;0
Abbas;55;44;1
Abby;13;12;1
Abd;25;23;1
Abdalla;20;18;1
Abdallah;23;20;1
Abdel;11;11;1
Abdelrazzaq;5;5;0
Abdi;442;424;2
Abdiasis;23;22;1
Abdiaziz;26;18;1
Abdifatah;44;40;1
Abdifitah;5;0;0
Abdihakiin;5;0;0
Abdihakim;13;11;1
Abdihakin;7;6;0
Abdihamid;6;6;0
Abdikadir;30;27;1
Abdikani;6;6;0
Abdikarim;34;29;1
Abdikarin;24;24;1
Abdilaahi;6;6;0
Abdiladif;5;5;0
Abdilahi;8;9;0
Abdillahi;25;25;1
Abdimalik;5;0;0
Abdinasir;25;19;1
Abdinur;8;8;0
Abdiqadar;5;5;0
Abdiqani;9;8;0
Abdirahim;16;16;1
Abdirahman;170;161;2
Abdirashid;65;61;1
Abdirazak;9;9;0
Abdirisaaq;6;5;0
Abdirisak;25;24;1
Abdirisaq;34;28;1
Abdirizak;49;45;1
Abdisalam;22;20;1
Abdisalan;9;9;0
Abdisatar;5;0;0
Abdishakur;15;13;1
Abdiwahaab;5;5;0
Abdiwahab;16;11;1
Abdiwahid;7;6;0
Abdiwali;19;16;1
Abdiweli;11;11;1
Abdu;7;0;0
Abdukadir;5;5;0
Abdul;39;35;1
Abdulahi;15;14;1
Abdulaziz;11;11;1
Abdulgadir;9;9;0
Abdul-Hussain;6;6;0
Abduljabbar;5;0;0
Abdulkader;8;0;0
Abdulkadir;148;135;2
Abdulkareem;13;10;1
Abdulkarim;14;12;1
Abdulla;10;9;1
Abdullaahi;6;6;0
Abdullah;58;46;1
Abdullahi;324;302;2
Abdulle;30;27;1
Abdulqader;9;0;0
Abdulqadir;20;15;1
Abdulrahman;20;17;1
Abdulrazzaq;8;0;0
Abdulwahab;5;0;0
Abdulwahid;8;0;0
Abdurahman;8;6;0
Abed;24;24;1
Abeer;5;0;0
Abegail;5;5;0
Abena;19;18;1
Abid;11;9;1
Abigail;183;169;2
Abimbola;5;0;0
Abiodun;6;6;0
Abiola;8;7;0
Abir;10;9;1
Abisola;6;6;0
Abosede;6;0;0
Abraar;11;9;1
Abrar;11;11;1
Abril;7;6;0
Abshir;25;23;1
Abshiro;6;7;0
Abuagla;5;0;0
Abubakar;12;11;1
Abubaker;5;5;0
Abuk;6;6;0
Abukar;54;50;1
Abuukar;7;6;0
Acacia;5;0;0
Achai;5;0;0
Achieng;16;15;1
Achol;7;5;0
Ada;4466;4270;3
Ada-Emilia;25;25;1
Adaeze;13;9;1
Adafiia;10;9;1
Adafiina;6;7;0
Adalfiina;5;5;0
Adalia;191;149;2
Adaliina;65;62;1
Adalina;28;23;1
Adalmia;9;9;0
Adalmiina;2148;2017;3
Adalmina;356;332;2
Ada-Lotta;5;5;0
Adam;43;35;1
Adama;18;17;1
Ada-Maria;47;48;1
Adamiina;6;6;0
Adan;47;46;1
Adanna;109;90;2
Adanne;5;5;0
Ada-Olivia;5;5;0
Adaora;10;10;1
Adar;13;12;1
Adara;6;6;0
Ada-Sofia;57;57;1
Adaya;5;5;0
Addison;8;8;0
Ade;6;0;0
Adea;49;39;1
Adebola;5;5;0
Adeela;10;9;1
Adeele;9;8;0
Adel;38;34;1
Adela;204;176;2
Adelaida;5;5;0
Adelaide;69;64;1
Adele;4300;4001;3
Adelé;36;36;1
Adéle;350;352;2
Adèle;63;62;1
Adelea;47;41;1
Adelee;7;6;0
Adeleena;5;0;0
Adelei;23;21;1
Adelein;29;28;1
Adeleine;37;35;1
Adelene;5;5;0
Adelheid;21;19;1
Adeli;7;6;0
Adelia;890;688;2
Adélia;5;5;0
Adelie;52;42;1
Adeliina;1248;1145;3
Adeliine;5;0;0
Adelin;34;28;1
Adelina;837;740;2
Adeline;155;142;2
Adelisa;6;6;0
Adella;118;94;2
Adelle;68;54;1
Adelma;23;19;1
Adelmiina;20;18;1
Adelmina;9;9;0
Adelyn;18;15;1
Aden;67;59;1
Adena;6;6;0
Adenike;5;0;0
Adeola;16;12;1
Adessa;949;692;2
Adesuwa;8;8;0
Adetta;8;8;0
Adette;31;26;1
Adhiambo;10;9;1
Adi;14;11;1
Adia;11;10;1
Adiel;10;9;1
Adiela;7;6;0
Adiina;9;9;0
Adil;29;25;1
Adila;10;9;1
Adile;31;30;1
Adina;358;324;2
Adine;33;32;1
Adira;5;0;0
Adisa;5;5;0
Aditi;9;9;0
Adiza;5;0;0
Adjoa;17;15;1
Adna;61;57;1
Adnan;31;25;1
Adolfiina;223;221;2
Adolfina;76;74;1
Adonica;6;6;0
Adonika;26;23;1
Adora;24;19;1
Adriana;293;265;2
Adriane;6;6;0
Adrianna;31;25;1
Adrianne;8;9;0
Adrienn;7;6;0
Adrienne;39;35;1
Adut;5;5;0
Adwoa;19;17;1
Aelita;7;7;0
Aeris;5;0;0
Aeshah;6;0;0
Aferdita;14;12;1
Afërdita;5;0;0
Afi;8;8;0
Afia;15;13;1
Afifa;13;11;1
Afiifa;8;6;0
Afnaan;22;20;1
Afnan;25;16;1
Afra;6;6;0
Afrah;7;7;0
Africa;10;9;1
Afrin;8;6;0
Afrodite;14;13;1
Afroditi;7;5;0
Afroz;5;0;0
Afsana;7;7;0
Afsaneh;11;11;1
Afua;9;9;0
Agafia;39;36;1
Agape;12;11;1
Agata;100;91;2
Agatha;106;91;2
Agathe;6;6;0
Agda;113;117;2
Agne;8;10;0
Agneeta;16;15;1
Agneetta;17;17;1
Agnes;874;838;2
Agnès;7;7;0
Ágnes;18;18;1
Agnesa;28;27;1
Agnese;8;8;0
Agnessa;8;8;0
Agneta;1296;1308;3
Agnete;36;37;1
Agnetha;38;38;1
Agnetta;11;11;1
Agnia;21;23;1
Agnieska;5;0;0
Agnieszka;49;45;1
Agustina;9;8;0
Ahdintytär;5;5;0
Ahlaam;21;19;1
Ahlam;28;26;1
Ahmad;52;42;1
Ahmed;749;662;2
Ahmednur;11;10;1
Ahmed-Nur;8;8;0
Ahmed-Wali;5;5;0
Ahsen;5;0;0
Ai;37;36;1
Aia;15;15;1
Aicha;106;96;2
Aïcha;9;8;0
Aida;1337;1203;3
Aïda;6;6;0
Aiden;7;0;0
Aidi;10;10;1
Aidiid;6;6;0
Aija;2189;2210;3
Aija-Leena;35;36;1
Aija-Liisa;25;25;1
Aija-Mari;8;8;0
Aija-Maria;7;7;0
Aija-Riitta;15;15;1
Aija-Sisko;6;6;0
Aiju;37;34;1
Aika;6;0;0
Aikaterini;5;5;0
Aikku;6;6;0
Aiko;24;23;1
Aila;11436;11885;4
Ailakki;41;43;1
Aila-Maija;10;10;1
Aila-Maria;10;10;1
Aila-Sisko;7;7;0
Aile;42;33;1
Áile;17;14;1
Aileen;29;28;1
Aili;5662;6058;3
Ailiina;59;50;1
Ailikki;47;45;1
Aili-Maria;9;8;0
Ailin;32;28;1
Aiman;7;6;0
Aime;20;19;1
Aimé;5;5;0
Aimee;33;32;1
Aimée;20;20;1
Aimi;100;79;2
Aimo;5;0;0
Aina;886;839;2
Aina-Ilona;9;8;0
Aina-Maria;15;15;1
Ainamo;80;84;1
Ainara;6;6;0
Ainaz;7;6;0
Ainhoa;8;8;0
Aini;2578;2599;3
Ainikki;342;350;2
Aino;36333;36280;4
Ainoa;11;8;1
Aino-Amanda;5;5;0
Aino-Annikki;5;5;0
Aino-Elina;68;67;1
Aino-Elisa;11;11;1
Aino-Ellen;5;6;0
Aino-Emilia;36;36;1
Aino-Helena;13;13;1
Aino-Ilona;23;23;1
Aino-Inkeri;44;45;1
Aino-Julia;5;5;0
Aino-Kaarina;10;11;1
Aino-Kaija;6;6;0
Ainokaisa;25;26;1
Aino-Kaisa;154;152;2
Aino-Kaisla;5;5;0
Aino-Katri;5;5;0
Aino-Kerttu;7;7;0
Ainoleena;5;5;0
Aino-Leena;30;30;1
Ainoliina;22;21;1
Aino-Liina;12;12;1
Ainoliisa;23;23;1
Aino-Liisa;74;74;1
Aino-Linnea;7;7;0
Aino-Lotta;11;10;1
Aino-Lyydia;5;5;0
Aino-Maaria;18;17;1
Ainomaija;51;52;1
Aino-Maija;249;256;2
Ainomari;19;19;1
Aino-Mari;31;31;1
Ainomaria;49;48;1
Aino-Maria;309;307;2
Ainomarja;7;6;0
Aino-Marja;30;31;1
Aino-Marjatta;10;10;1
Aino-Olivia;8;8;0
Aino-Orvokki;6;6;0
Aino-Riikka;9;9;0
Aino-Riitta;14;14;1
Aino-Sisko;13;14;1
Ainosofia;5;5;0
Aino-Sofia;82;80;1
Ainotar;10;10;1
Aino-Tuulia;7;7;0
Ainu;125;120;2
Ainur;7;6;0
Ainut;9;8;0
Aira;3865;4152;3
Airah;6;0;0
Aira-Liisa;11;12;1
Aira-Maria;5;5;0
Aire;42;46;1
Airi;6160;6515;3
Airiina;38;37;1
Airikki;21;22;1
Airin;13;12;1
Airina;9;9;0
Airis;7;7;0
Airut;10;9;1
Aisa;9;7;0
Aise;5;0;0
Aisha;471;419;2
Aishah;9;9;0
Aishe;6;6;0
Aisho;6;6;0
Aishwarya;6;6;0
Aisla;77;67;1
Aisling;9;9;0
Aissa;13;15;1
Aissatou;6;6;0
Aiva;7;7;0
Aive;6;6;0
Aivi;63;62;1
Aiya;5;5;0
Aiyana;8;7;0
Aiza;8;5;0
Aja;10;9;1
Ajana;9;8;0
Ajatar;7;7;0
Ajda;5;5;0
Ajla;31;27;1
Ajlin;6;5;0
Ajna;5;5;0
Ajoke;5;0;0
Ajsa;10;9;1
Ajshe;5;0;0
Akhtar;6;6;0
Aki;6;0;0
Akiko;10;8;1
Akiliina;13;12;1
Akintytär;26;25;1
Akinyi;13;10;1
Akira;15;13;1
Akosua;15;15;1
Akram;19;16;1
Aksa;28;28;1
Aksana;13;12;1
Akseli;8;0;0
Akseliina;12;12;1
Akselina;6;6;0
Aksenia;7;7;0
Aksia;6;5;0
Aksiina;36;35;1
Aksinja;8;8;0
Akter;16;12;1
Aku;6;6;0
Akua;19;18;1
Akuliina;106;105;2
Akulina;9;8;0
Akustiina;8;8;0
Akveliina;21;20;1
Akviliina;26;25;1
Akvilina;8;6;0
Al;8;7;0
Ala;16;15;1
Alaa;39;33;1
Alaia;11;9;1
Alaina;9;7;0
Alam;7;7;0
Alan;5;0;0
Alana;49;46;1
Alanna;24;22;1
Alannah;7;6;0
Alara;15;11;1
Alaska;7;7;0
Alawi;5;5;0
Alba;101;74;2
Albana;18;17;1
Albena;5;0;0
Alberta;21;23;1
Albertiina;145;146;2
Albertina;102;103;2
Albertta;5;0;0
Albina;70;69;1
Albulena;19;18;1
Alda;48;45;1
Alde;7;7;0
Aldi;11;12;1
Aldina;8;8;0
Alea;36;28;1
Aleah;5;0;0
Alec;6;0;0
Alecia;18;17;1
Aleena;17;17;1
Aleftina;13;13;1
Alegria;6;6;0
Aleida;12;13;1
Aleina;9;9;0
Alejandra;60;55;1
Alejna;5;0;0
Aleksa;55;48;1
Aleksanda;11;11;1
Aleksander;0;6;0
Aleksandra;14585;13962;4
Aleksandria;28;27;1
Aleksandrina;5;5;0
Aleksandrovna;76;75;1
Aleksanni;6;6;0
Aleksanteri;20;8;1
Aleksantra;73;73;1
Alekseevna;17;17;1
Aleksejevna;13;13;1
Aleksi;18;14;1
Aleksia;112;106;2
Aleksiina;458;449;2
Aleksina;64;64;1
Aleksintytär;13;9;1
Aleksis;5;0;0
Alem;5;5;0
Alena;170;151;2
Alesia;32;26;1
Alessa;121;109;2
Alessandra;273;246;2
Alessia;383;324;2
Aleta;8;8;0
Alethea;5;0;0
Aletta;162;157;2
Alette;19;18;1
Alevtina;40;36;1
Alex;116;67;2
Alexa;277;236;2
Alexander;62;42;1
Alexandra;14049;13417;4
Alexandria;87;85;1
Alexandrina;7;7;0
Alexandrine;20;18;1
Alexandrovna;19;19;1
Alexanna;5;5;0
Alexia;400;357;2
Alexiina;46;45;1
Alexina;86;85;1
Alexintytär;5;5;0
Alexis;55;49;1
Alexsandra;424;412;2
Alexzandra;6;6;0
Aleyna;34;30;1
Alfa;40;38;1
Alfhild;100;107;2
Alfhilda;29;27;1
Alfia;11;11;1
Alfiina;32;29;1
Alfilda;7;5;0
Alfina;10;10;1
Alfrida;43;42;1
Alfriida;10;9;1
Alfsol;6;6;0
Alheidi;5;5;0
Ali;623;528;2
Alia;82;70;1
Aliah;6;7;0
Aliana;14;10;1
Alic;7;7;0
Alica;60;58;1
Alice;5238;5195;3
Alicia;889;808;2
Alicja;25;25;1
Alida;155;149;2
Alide;15;13;1
Alie;5;5;0
Aliénor;7;5;0
Aliia;6;6;0
Aliida;37;35;1
Aliide;14;13;1
Aliina;2126;2161;3
Aliisa;6085;5894;3
Aliise;52;56;1
Aliisi;67;70;1
Aliisia;13;13;1
Aliissa;6;5;0
Alika;5;5;0
Aliki;6;5;0
Alila;9;9;0
Alima;8;7;0
Alin;12;9;1
Alina;11236;10596;4
Alinda;137;139;2
Aline;139;130;2
Aliona;5;0;0
Alis;9;9;0
Alisa;8578;8139;3
Alisalad;5;0;0
Alise;492;498;2
Alisha;52;48;1
Alisi;10;11;1
Alisia;129;117;2
Alison;48;46;1
Alissa;1165;1014;3
Alissia;15;13;1
Alita;19;16;1
Alivia;18;11;1
Alix;22;20;1
Aliya;30;26;1
Aliyah;30;28;1
Aliza;19;19;1
Alizée;6;6;0
Alizia;6;6;0
Alja;14;14;1
Aljona;22;21;1
Alla;223;216;2
Allas;5;5;0
Allegra;27;25;1
Allen;5;0;0
Alli;2632;2839;3
Allida;14;16;1
Allie;9;9;0
Alliina;12;11;1
Allikki;6;6;0
Alli-Maria;6;6;0
Allis;17;14;1
Allison;24;22;1
Allu;7;5;0
Ally;7;6;0
Alma;4551;4140;3
Almaas;21;12;1
Alma-Elina;5;0;0
Alma-Maria;7;7;0
Almas;17;15;1
Alma-Sofia;8;8;0
Almaz;17;12;1
Almedina;5;5;0
Almi;6;7;0
Almida;10;12;1
Almiina;31;29;1
Almiira;9;9;0
Almina;16;15;1
Almira;24;23;1
Alona;36;31;1
Alondra;6;6;0
Alora;5;0;0
Alphonsine;5;5;0
Alpontytär;5;5;0
Alsu;7;6;0
Althea;24;22;1
Altina;6;6;0
Aluel;6;6;0
Alva;1399;1178;3
Alvar;9;0;0
Alvi;16;16;1
Alvia;7;6;0
Alvida;5;0;0
Alviida;14;10;1
Alviina;311;282;2
Alviira;17;16;1
Alvina;136;135;2
Alvine;6;0;0
Alwa;18;17;1
Alwan;11;11;1
Aly;6;6;0
Alya;16;14;1
Alycia;5;5;0
Alyna;7;7;0
Alysa;10;10;1
Alyssa;150;138;2
Ama;54;45;1
Amaal;31;26;1
Amaalia;9;8;0
Amada;7;7;0
Amadea;36;34;1
Amaia;25;21;1
Amaka;6;6;0
Amal;149;131;2
Amalia;5397;4881;3
Amalie;84;70;1
Amaliina;15;13;1
Aman;7;7;0
Amanda;23478;22499;4
Amandeep;6;6;0
Amandine;20;21;1
Amandla;7;7;0
Amani;51;40;1
Amanita;11;9;1
Amanta;10;10;1
Amar;7;7;0
Amara;31;28;1
Amarachi;18;16;1
Amari;6;6;0
Amaryllis;8;7;0
Amatullah;6;5;0
Amaya;49;39;1
Amber;52;48;1
Ambika;6;0;0
Ambra;9;9;0
Ambrosia;17;17;1
Ameer;6;5;0
Ameera;8;0;0
Amel;26;23;1
Amela;27;21;1
Amele;5;0;0
Ameli;17;14;1
Amelia;2348;1978;3
Amélia;17;16;1
Amelie;1431;1265;3
Amelié;28;28;1
Amélie;193;176;2
Amelii;8;8;0
Ameliia;6;7;0
Ameliina;29;30;1
Ameliitta;5;5;0
Amelina;10;10;1
Amella;5;0;0
Amen;6;5;0
Amena;8;7;0
Amenah;8;7;0
Ameneh;10;8;1
Amer;13;8;1
Ami;61;55;1
Amica;10;10;1
Amidala;11;9;1
Amie;33;32;1
Amiina;12;10;1
Amiira;66;53;1
Amila;18;17;1
Amilda;35;30;1
Amilia;78;69;1
Amilla;7;7;0
Amin;30;23;1
Amina;542;500;2
Aminah;12;11;1
Aminat;7;5;0
Aminata;31;31;1
Aminda;17;16;1
Amine;26;23;1
Amino;16;16;1
Amir;19;14;1
Amira;398;348;2
Amirah;16;12;1
Amit;6;6;0
Amita;8;8;0
Amjad;6;6;0
Amma;8;8;0
Ammar;15;9;1
Ammi;17;15;1
Amna;33;30;1
Amol;5;5;0
Amor;5;5;0
Amora;8;5;0
Amorina;11;11;1
Amos;5;0;0
Amour;5;5;0
Amparo;9;8;0
Amporn;6;5;0
Amra;26;25;1
Amran;27;25;1
Amrita;30;28;1
Amy;242;225;2
An;79;61;1
Ana;250;219;2
Anab;38;36;1
Anabel;31;30;1
Anabella;16;15;1
Anabelle;6;5;0
Anactasia;11;10;1
Anahit;7;6;0
Anahita;27;26;1
Anais;38;33;1
Anaïs;41;40;1
Anamaria;6;6;0
Ana-Maria;8;8;0
Anamika;6;0;0
Ananda;24;20;1
Ananya;6;0;0
Anas;9;8;0
Anastaasia;29;28;1
Anastacia;283;265;2
Anastasia;2374;2232;3
Anastasiia;101;68;2
Anastasija;71;67;1
Anastasiya;32;26;1
Anastassia;76;73;1
Anastazia;7;6;0
Anat;6;6;0
Anatolevna;5;5;0
Anatolievna;9;9;0
Anatoljevna;28;28;1
Anaya;7;6;0
Anca;7;5;0
Ancela;72;69;1
Anceli;6;6;0
Ancelica;10;10;1
Anceliga;155;148;2
Anceliina;7;7;0
Ancelika;52;53;1
Ancelina;13;13;1
Anchalee;5;0;0
Anda;6;6;0
Andeliina;14;13;1
Andelina;9;9;0
Andersdotter;44;44;1
Andra;15;15;1
Andrea;751;723;2
Andréa;75;74;1
Andreas;9;5;0
Andreasdotter;8;7;0
Andrée;10;9;1
Andreea;23;21;1
Andreevna;8;8;0
Andreia;5;5;0
Andreina;7;6;0
Andrejevna;7;7;0
Andri;5;5;0
Andria;9;9;0
Andriana;12;9;1
Andrietta;8;8;0
Andriette;8;8;0
Andrina;6;6;0
Andrine;5;5;0
Andromeda;11;9;1
Anduena;5;5;0
Andzelika;5;0;0
Ane;10;9;1
Anea;8;6;0
Aneka;7;7;0
Anela;13;12;1
Anele;8;9;0
Aneli;5;5;0
Anelia;5;0;0
Anella;5;5;0
Anelma;2439;2614;3
Anemone;12;12;1
Aneri;6;6;0
Anerva;15;16;1
Anervi;8;8;0
Anervo;11;12;1
Anesa;16;16;1
Anessa;16;16;1
Anet;14;13;1
Aneta;16;15;1
Anete;7;5;0
Anett;51;51;1
Anetta;76;74;1
Anette;3773;3758;3
Anetti;8;8;0
Anfac;7;6;0
Anfal;5;0;0
Anfiisa;10;9;1
Anfisa;22;20;1
Angdur;5;0;0
Ange;6;5;0
Angel;102;95;2
Angela;548;529;2
Angele;5;5;0
Angéle;5;5;0
Angeles;12;12;1
Angeli;25;25;1
Angelia;13;13;1
Angelic;6;5;0
Angelica;830;808;2
Angélica;6;6;0
Angelie;7;7;0
Angeliga;6;6;0
Angeliina;65;65;1
Angelika;437;430;2
Angeliki;12;12;1
Angelina;647;620;2
Angeline;28;27;1
Angeliqa;6;6;0
Angelique;96;87;1
Angélique;9;9;0
Angelita;14;14;1
Angervo;76;76;1
Angie;14;14;1
Anh;224;184;2
Ánh;6;6;0
Anhaar;5;5;0
Ani;232;224;2
Ania;49;48;1
Aniara;15;14;1
Anica;12;12;1
Anida;14;13;1
Aniel;5;0;0
Aniela;54;54;1
Anielka;10;10;1
Aniella;10;10;1
Anifa;5;5;0
Aniina;28;28;1
Aniisa;6;5;0
Aniita;114;124;2
Aniitta;312;317;2
Anika;115;111;2
Anikka;10;9;1
Aniko;8;8;0
Anikó;8;9;0
Anila;21;16;1
Anilia;7;6;0
Anilla;38;36;1
Anima;11;11;1
Anina;90;90;1
Anine;12;13;1
Aninka;33;32;1
Anis;8;8;0
Anisa;158;143;2
Anisha;6;6;0
Anisia;15;13;1
Anisja;5;5;0
Aniso;11;11;1
Anissa;52;49;1
Anita;21423;21971;4
Anitha;8;6;0
Anitra;229;232;2
Anitta;4795;4848;3
Aniza;5;0;0
Anja;21479;23089;4
Anja-Irmeli;6;6;0
Anja-Kaarina;21;24;1
Anja-Kaisa;8;8;0
Anja-Leena;43;42;1
Anjali;10;9;1
Anja-Liisa;91;97;1
Anja-Maija;23;25;1
Anja-Maria;22;22;1
Anja-Marja;5;0;0
Anjariitta;6;6;0
Anja-Riitta;115;118;2
Anjatta;11;13;1
Anjela;5;6;0
Anjelica;10;10;1
Anjelika;18;19;1
Anju;30;28;1
Anjukka;5;5;0
Anjuli;12;11;1
Anjuska;45;44;1
Anjuta;6;6;0
Anke;6;6;0
Anki;78;74;1
Anleena;6;6;0
Anmari;74;73;1
An-Mari;5;0;0
Ann;1171;1157;3
Anna;45909;46233;4
Ánná;6;6;0
Anna-Aurora;5;0;0
Anna-Beata;10;10;1
Annabel;225;220;2
Annabell;34;34;1
Annabella;360;349;2
Anna-Bella;32;32;1
Annabelle;61;56;1
Annabeth;6;6;0
Anna-Brita;26;27;1
Anna-Britt;5;5;0
Anna-Britta;7;7;0
Anna-Carin;15;15;1
Anna-Carina;5;5;0
Anna-Carolina;5;5;0
Anna-Cecilia;7;7;0
Anna-Charlotta;9;9;0
Anna-Christina;11;11;1
Annada;9;9;0
Anna-Eerika;0;5;0
Anna-Elena;8;8;0
Anna-Eliisa;12;12;1
Annaelina;7;7;0
Anna-Elina;155;154;2
Anna-Elisa;24;24;1
Anna-Emilia;136;135;2
Anna-Erica;7;7;0
Anna-Erika;25;25;1
Anna-Eveliina;17;17;1
Anna-Greetta;9;9;0
Anna-Greta;90;92;1
Anna-Helena;78;78;1
Anna-Henriikka;7;7;0
Anna-Ilona;15;15;1
Anna-Inkeri;14;14;1
Anna-Johanna;10;10;1
Anna-Julia;35;35;1
Anna-Juulia;13;13;1
Annakaarina;7;7;0
Anna-Kaarina;305;305;2
Annakaija;5;5;0
Anna-Kaija;51;52;1
Annakaisa;257;258;2
Anna-Kaisa;1661;1668;3
Anna-Kaisu;6;6;0
Anna-Kajsa;21;21;1
Anna-Karin;110;111;2
Anna-Karina;5;5;0
Anna-Karita;5;5;0
Anna-Karoliina;82;82;1
Anna-Karolina;8;8;0
Anna-Katariina;102;103;2
Anna-Katarina;26;25;1
Annakatri;9;9;0
Anna-Katri;49;49;1
Anna-Katriina;62;62;1
Anna-Kerttu;9;9;0
Anna-Kreeta;20;21;1
Anna-Kreetta;22;22;1
Anna-Kristiina;140;142;2
Anna-Kristina;32;33;1
Anna-Laura;18;18;1
Annalea;16;16;1
Anna-Lea;28;28;1
Annaleea;7;6;0
Anna-Leea;28;28;1
Annaleena;195;195;2
Anna-Leena;1205;1229;3
Annalena;16;16;1
Anna-Lena;310;311;2
Annaliina;64;64;1
Anna-Liina;27;28;1
Annaliisa;286;298;2
Anna-Liisa;8644;9325;3
Annalina;10;10;1
Anna-Linda;6;6;0
Anna-Linnea;12;12;1
Annalisa;33;32;1
Anna-Lisa;370;391;2
Annalotta;17;17;1
Anna-Lotta;78;79;1
Anna-Loviisa;10;10;1
Anna-Lovisa;10;10;1
Anna-Lydia;6;6;0
Anna-Lyydia;15;14;1
Anna-Maaret;11;11;1
Annamaaria;26;26;1
Anna-Maaria;116;116;2
Anna-Maarit;65;65;1
Anna-Mai;5;5;0
Annamaija;235;238;2
Anna-Maija;3147;3220;3
Anna-Maiju;5;5;0
Anna-Maj;20;19;1
Anna-Maja;7;7;0
Annamari;964;966;2
Anna-Mari;1360;1370;3
Annamaria;295;295;2
Anna-Maria;2288;2297;3
Annamária;13;12;1
Annamarie;8;8;0
Anna-Marie;35;35;1
Anna-Mariia;14;14;1
Anna-Marija;8;8;0
Anna-Marika;15;17;1
Anna-Marita;9;10;0
Annamarja;9;9;0
Anna-Marja;133;133;2
Anna-Marjaana;9;9;0
Anna-Marjatta;10;11;1
Anna-Marketta;7;7;0
Anna-Matilda;16;16;1
Annami;53;54;1
Anna-Mi;22;22;1
Anna-Mia;10;11;1
Anna-Miia;11;11;1
Annamiina;8;8;0
Anna-Miina;7;7;0
Annantytär;5;0;0
Anna-Olivia;8;7;0
Anna-Pauliina;34;34;1
Anna-Pia;15;15;1
Annareeta;9;9;0
Anna-Reeta;53;53;1
Annareetta;26;26;1
Anna-Reetta;146;146;2
Annariikka;59;59;1
Anna-Riikka;282;282;2
Annariina;130;129;2
Anna-Riina;68;69;1
Annariitta;29;29;1
Anna-Riitta;273;281;2
Annarilla;7;8;0
Annaroosa;6;6;0
Anna-Roosa;10;10;1
Annarosa;13;12;1
Anna-Rosa;10;10;1
Anna-Sara;11;11;1
Anna-Sisko;20;20;1
Annasofia;39;37;1
Anna-Sofia;620;616;2
Anna-Sophie;6;6;0
Annastiina;841;836;2
Anna-Stiina;116;116;2
Annastina;118;118;2
Anna-Stina;157;159;2
Anna-Tuulia;28;29;1
Anna-Ulla;8;9;0
Anna-Veera;6;6;0
Ann-Britt;224;230;2
Ann-Caroline;21;21;1
Ann-Catherine;7;8;0
Ann-Cathrin;19;20;1
Ann-Cathrine;30;30;1
Ann-Catrin;77;78;1
Ann-Catrine;31;31;1
Ann-Charlott;101;103;2
Ann-Charlotta;10;10;1
Ann-Charlotte;316;319;2
Ann-Chatrine;10;10;1
Ann-Christin;419;421;2
Ann-Christina;13;13;1
Ann-Christine;487;491;2
Ann-Cristin;12;12;1
Ann-Cristine;15;15;1
Anne;34812;34960;4
Annea;17;18;1
Annéa;6;6;0
Anne-Birgitta;10;10;1
Anne-Britt;15;16;1
Anne-Carita;9;9;0
Anne-Caroline;5;5;0
Anne-Charlotte;47;48;1
Anne-Christina;7;8;0
Anne-Christine;41;41;1
Anne-Elina;22;22;1
Anne-Helena;30;30;1
Anne-Irene;9;8;0
Anneka;103;102;2
Anne-Kaarina;40;41;1
Anne-Kaisa;15;15;1
Anne-Katariina;14;14;1
Anne-Katriina;8;8;0
Anneke;22;21;1
Anne-Kristiina;87;88;1
Anne-Kristin;5;5;0
Anne-Kristina;17;17;1
Anne-Kristine;5;5;0
Annel;29;33;1
Annele;2154;2184;3
Annelea;5;5;0
Anne-Lea;7;7;0
Anne-Leena;30;30;1
Annelei;6;6;0
Anne-Lena;5;5;0
Anneli;117704;120735;5
Anne-Li;6;5;0
Annelie;138;141;2
Anne-Lie;11;10;1
Anneliese;11;11;1
Anneliina;64;64;1
Anneliisa;11;10;1
Anne-Liisa;51;52;1
Annelina;8;8;0
Anne-Lis;0;5;0
